identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
your-store.myshopify.com,URL,"Environment: Core

Your development store hosted at `*.myshopify.com`. Create a development store by signing up at https://partners.shopify.com/",true,true,medium,medium,medium,critical,,2017-07-25 01:41:07 UTC,2025-06-27 13:28:00 UTC
partners.shopify.com,URL,Environment: Core,true,true,medium,medium,medium,critical,,2017-07-25 02:11:20 UTC,2025-06-27 13:26:36 UTC
accounts.shopify.com,URL,Environment: Core,true,true,medium,medium,medium,critical,,2017-07-25 02:11:35 UTC,2025-06-27 13:30:12 UTC
investors.shopify.com,URL,"Environment: Non-core

Operated by a third party.",false,false,none,none,none,none,,2017-07-25 04:53:54 UTC,2025-06-27 13:40:57 UTC
*.email.shopify.com,WILDCARD,"Environment: Non-core

Operated by a third party.",false,false,,,,critical,,2017-08-30 14:54:23 UTC,2025-06-27 13:41:20 UTC
Shopify Third Party Apps,OTHER,"Environment: Non-core

Vulnerabilities found in Shopify third party apps should be reported to the responsible developer. You should only report vulnerabilities in Shopify third party apps to Shopify under this program if you do not receive a satisfactory response from the responsible developer.",false,true,low,low,low,medium,,2018-04-24 13:13:05 UTC,2025-06-27 13:44:19 UTC
Shopify Third PaJrty Store,OTHER,"Environment: Non-core

You may only test against shops you have created.",false,true,low,low,low,medium,,2018-04-24 13:30:55 UTC,2025-06-27 13:43:58 UTC
*.shopify.io,WILDCARD,"Environment: Non-core

*.shopify.io may include developer test or third party applications. If you are unsure about a domain and it looks like a test or third party application, please email us at bugbounty@shopify.com before spending time on it.",true,true,low,low,low,medium,,2018-05-24 13:09:18 UTC,2025-06-27 13:35:07 UTC
*.shopify.com,WILDCARD,"Environment: Non-core

Reports involving *.shopify.com are reviewed on a per case basis for bounty eligibility, this includes shopifycompass.com. Any services operated by a third party without a proof of concept demonstrating impact on *.myshopify.com users will likely be ineligible for a bounty. ",true,true,low,low,low,medium,,2018-05-30 16:50:25 UTC,2025-06-27 13:39:17 UTC
Other,OTHER,"Environment: Non-core
",false,false,high,high,high,critical,,2018-06-15 17:18:17 UTC,2025-06-27 13:39:32 UTC
cdn.shopify.com,URL,"Environment: Non-core

Shopify allows merchants to upload any file they want on our content delivery network. Being able to upload a file is not a vulnerability, this is the intended functionality.",false,false,,,,critical,,2018-06-22 15:32:13 UTC,2025-06-27 13:42:24 UTC
livechat.shopify.com,URL,"Environment: Non-core

Contacting Shopify Support over chat, email or phone about your HackerOne report is not allowed.",false,false,,,,critical,,2018-12-14 16:01:09 UTC,2025-06-27 13:40:38 UTC
community.shopify.com,URL,"Environment: Non-core

community.shopify.com is a third party service and not in scope of our bug bounty program. Please do not test this subdomain.",false,false,,,,critical,,2019-01-07 22:13:56 UTC,2025-06-27 13:40:15 UTC
Shopify Developed Apps,OTHER,"Environment: Non-core

Shopify apps and sales channels means everything installed via the following link https://apps.shopify.com/collections/made-by-shopify ",true,true,low,low,low,medium,,2019-09-11 15:15:23 UTC,2025-06-27 13:34:14 UTC
Shopify Mobile Applications,OTHER,"Environment: Non-core

Android: https://play.google.com/store/apps/dev?id=8929232438554100687
iOS: https://itunes.apple.com/ca/developer/shopify-inc/id371294475

Note: any services operated by a third party without a proof of concept demonstrating impact on Shopify users will likely be ineligible for a bounty.",true,true,,,,critical,,2019-09-11 15:16:40 UTC,2025-06-27 13:21:00 UTC
